timestamp,sender,chat_id,status,message_preview,error
2026-01-17 22:33:55,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:34:03,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:36:11,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:36:19,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:36:27,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:38:35,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:38:43,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:38:51,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:40:59,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:41:07,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:41:15,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:43:23,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:43:31,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:43:39,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:45:47,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:45:55,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:46:03,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:48:12,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:48:20,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:48:28,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:50:36,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
